number	category	question
1	Discord+1ещё	Как отправить сообщение сразу всем на сервере?
2	API+3ещё	Включения и отключения отображения иконки микрофона в Windows 10?
3	Facebook+1ещё	Как получить список все кто проявлял активность в истории фейсбук страницы?
4	Битрикс24	Как выполнить интеграцию сайта на Webflow c CRM Битрикс24?
5	Discord+1ещё	Как получить файл от пользователя и сохранить его с помощью discord.py?
6	Python+3ещё	Длительные курсы или интенсивный буткемп?
7	Информационная безопасность	Можно ли узнать адрес по которому слушается вебхук?
8	PHP	Писать свой автозагрузчик или можно использовать из composer?
9	Drupal+1ещё	Как результат for item in items записать в переменную?
10	cmd/bat+1ещё	Что мне делать с файлом vars.bat при разворачивании OpenVPN server?
11	Django+1ещё	Как в сериалайзер на основе модели передать доп поля для get запроса?
12	jQuery	Меню скрывается при нажатии за его пределами. А почему не скрывается при нажатии на лейбл?
13	Java	Есть ли апплеты в java?
14	GitHub+1ещё	GitHub Actions. Почему игнорируется env. var.?
15	Python+3ещё	Конфигурация NGINX + FLASK + Gunicorn. Как настроить проксирование на подкаталог сервера?
16	C#+2ещё	Как объект со цены FieldOfView привязать к префабу?
17	PyCharm	Pycharm. Как написать простую программу?
18	Дизайн+2ещё	Хочу начать заниматься веб дизайном (фотошоп, фигма) и не могу определиться с ноутбуком. Какой выбрать?
19	Node.js	Есть ли фреймворк для полноценной разработки CMS?
20	Webpack	Почему webpack-dev-server после обновления перестал следить/обновлять измененный css?
21	Bluetooth	Почему Bluetooth наушники не могут подключиться к ПК?
22	C#+1ещё	Почему вызывается ошибка 405 при авторизации в TikTok через ВК?
23	Django	Почему команда не находить атрибут?
24	WooСommerce	Как сделать шаг количества у вариаций товара woocommerce?
25	Angular	Как запровайдить токен для класса?
26	Фронтенд	Как создать подобный preloader?
27	Magento	Как сделать ajax запрос в Magento 2.4?
28	Почтовый сервер	Wildcard email?
29	C++	Почему выдает такую ошибку?
30	Linux+1ещё	Как загрузить файл на Linux сервер по ssh?
31	Python+3ещё	InstagramAPI как отправить голосовое сообщение в Direct?
32	reCAPTCHA+1ещё	Как сделать капчу на английском?
33	Node.js	Не даёт писать бота через cmd.hear, работает только updates.hear, Что делать? Как решить проблему?
34	Oracle	Как в цикле пройтись по значению поля в столбце таблицы?
35	TypeScript	Возможен ли условный тип исходя из статического свойства класса в TypeScript?
36	CMS	На какой CMS будет проще всего сделать подобный магазин?
37	1С-Битрикс	Как в Битрикс вывести элементы из диапазона дат?
38	Python+1ещё	Почему конструкция if не происходит в событие PyQt?
39	Python+1ещё	Как наложить разного размера изображения друг на друга Python?
40	PL/SQL	Запрос с функцией trunc?
41	React Native	Не подключаются шрифты react-native?
42	CSS+2ещё	Как переместить всю страницу на середину?
43	PHP+1ещё	Ошибка в коде, синтаксис или что?
44	Unity Game Engine	Рябь спрайта пола. Что делать и куда копать?
45	CSS	Как менять CSS стили, если блок в портретном состоянии?
46	PL/SQL	Определить номер буквы в фамилии из запроса?
47	WebSocket	Может ли быть такое что отправленное сообщение не дойдет?
48	Python+4ещё	Selenium Python Firefox Proxy аутентификация?
49	Кэширование+1ещё	Кеширование картинок с базы данных vuejs?
50	Sass+2ещё	Как правильно оформить второй header для других страниц?
51	Docker	Docker как добавить домен?
52	Visual Studio Code	Почему VS Code, зачеркнул свойство keyCode?
53	Lenovo+1ещё	Как войти в BIOS на lenovo z570?
54	Математика+3ещё	Какие полезные ресурсы для создания головоломок вы встречали?
55	CSS	Как выравнять текст?
56	Laravel	Роутинг в Laravel работает не так как ожидается?
57	Python	Как посчитать пройденную дистанцию с помощью map()?
58	PHP+1ещё	Как указать интервал дат в SQL из GET?
59	Компьютерные сети+2ещё	Несколько вопросов по конфигурация точки доступа CISCO CAP-2700 (в автономном режиме)?
60	JavaScript+1ещё	Как создать текстовый редактор?
61	Angular	Как правильно передать переменую между контроллерами в AngularJs через $rootScope.$broadcast?
62	PHP	Почему сессия каждый раз новая?
63	Техническая поддержка	Sctum и технический отдел? совсемтимо ли?
64	PHP	Как исправить логическую ошибку в использовании флагов?
65	Математика+1ещё	Как найти значение выражения?
66	Регулярные выражения	Как через регулярку вытащить ссылку?
67	jQuery+1ещё	Как реализовать вот такую функцию при наведении БС4 Navs?
68	Веб-разработка	Web Share API: как узнать, на какую кнопку нажали?
69	CSS+1ещё	Как сделать чтобы изображение не изменяло размер родителя?
70	Windows+1ещё	Как можно делегировать пользователям раздачу прав на сетевые папки в Windows Server?
71	PHP	Возможно ли определить картинки с людьми*?
72	Node.js+1ещё	Как использовать node.js в react приложении?
73	Python	Как заменить данные из одного файла в другом?
74	htaccess	Как исправить ошибку при редиректе?
75	Nginx	Перенаправление с одной папки в другую nginx?
76	Боты	Как задать боту программу чтобы он приветствовал нового подписчика в телеграм канале и через 30 сек. это сообщение удолялось?
77	PHP	Отправка письма на gmail на php?
78	SSH+3ещё	Запуск .sh скрипта на удаленном сервере по ярлыку в windows?
79	CSS+4ещё	Owl carousel 2 mousedrag и touchdrag только одно изображение?
80	Visual Studio Code	Проверка орфографии vs code, русского языка?
81	Nginx	Как с помощью nginx разные поддомены направить на разные страницы?
82	Эмиграция и иммиграция	Какие плюсы и минусы э-резиденции Эстонии?
83	Ноутбуки	Выбор ноутбука для программирования?
84	Ghost	Какой хостинг используете для Ghost?
85	SQL+1ещё	WP User Query — как получить порядковый номер?
